"Date","Expense (tags)","Amount","Currency","Description"
"2011-03-29","food","6.9","EUR",""
"2011-03-31","food","1.79","EUR",""
"2011-04-01","drinks","5.5","EUR",""
"2011-04-04","energy","1.89","EUR",""
"2011-04-04","food","1.4","EUR",""
"2011-04-08","funz","25.5","EUR",""
"2011-04-09","benz","27.4","EUR",""
"2011-04-09","energy","6.1","EUR",""
"2011-04-09","benz","20","EUR",""
"2011-04-11","food","4.11","EUR",""
"2011-04-11","food","3.49","EUR",""
"2011-04-13","benz","21","EUR",""
"2011-04-13","funz, rare","4","EUR",""
"2011-04-13","tea","4.06","EUR",""
"2011-04-15","tea","2","EUR",""
"2011-04-17","energy, food","8.55","EUR",""
"2011-04-18","food","2.3","EUR",""
"2011-04-18","drinks","0.8","EUR",""
"2011-04-21","grooming","2.5","EUR",""
"2011-04-21","grooming","12.9","EUR",""
"2011-04-21","tech","40","EUR",""
"2011-04-21","drinks","0.6","EUR",""
"2011-04-21","energy","1.5","EUR",""
"2011-04-22","rare","7.27","EUR",""
"2011-04-22","drinks","9.3","EUR",""
"2011-04-23","drinks, energy","2.8","EUR",""
"2011-04-23","drinks","6.4","EUR",""
"2011-04-26","drinks","4","EUR",""
"2011-04-27","food","4.5","EUR",""
"2011-04-28","drinks","1.2","EUR",""
"2011-04-28","energy","1.05","EUR",""
"2011-04-28","domain","6.7","EUR",""
"2011-04-28","drinks","2","EUR",""
"2011-05-04","drinks","1.3","EUR",""
"2011-05-04","energy","1.05","EUR",""
"2011-05-06","drinks","4","EUR",""
"2011-05-09","energy","1.1","EUR",""
"2011-05-10","cat","6.29","EUR",""
"2011-05-11","drinks","6","EUR",""
"2011-05-12","energy","2.5","EUR",""
"2011-05-12","drinks","2.1","EUR",""
"2011-05-17","funz","3","EUR",""
"2011-05-17","funz","1.94","EUR",""
"2011-05-18","phone","144.4","EUR",""
"2011-05-18","energy","2.88","EUR",""
"2011-05-18","grooming","5.44","EUR",""
"2011-05-18","drinks","2","EUR",""
"2011-05-19","food","0.65","EUR",""
"2011-05-19","food","1.5","EUR",""
"2011-05-19","drinks","4","EUR",""
"2011-05-19","food","7.2","EUR",""
"2011-05-20","drinks","2","EUR",""
"2011-05-21","energy","2.5","EUR",""
"2011-05-21","benz","26.71","EUR",""
"2011-05-21","supplies","5.45","EUR",""
"2011-05-23","drinks","1.8","EUR",""
"2011-05-23","energy, guarana","7.62","EUR",""
"2011-05-23","energy","1.5","EUR",""
"2011-05-24","drinks","1.3","EUR",""
"2011-05-24","food","1.5","EUR",""
"2011-05-24","energy","1.5","EUR",""
"2011-05-25","drinks","1.5","EUR",""
"2011-05-25","food","6.9","EUR",""
"2011-05-26","dreamhost","15.5","EUR",""
"2011-05-26","food","4","EUR",""
"2011-05-26","food","0.65","EUR",""
"2011-05-27","benz","27.17","EUR",""
"2011-05-29","energy","3.75","EUR",""
"2011-05-29","cat","1.76","EUR",""
"2011-05-30","food","0.6","EUR",""
"2011-05-30","drinks","2","EUR",""
"2011-05-31","drinks","2.1","EUR",""
"2011-05-31","food","4","EUR",""
"2011-05-31","tea","2.85","EUR",""
"2011-06-22","food","2.3","EUR",""
"2011-06-22","benz","10","EUR",""
"2011-06-24","food","19.53","EUR",""
"2011-06-24","drinks","4.85","EUR",""
"2011-06-25","food","12","EUR",""
"2011-06-27","drinks","3.5","EUR",""
"2011-06-27","food","23.21","EUR",""
"2011-06-28","rare","10","EUR",""
"2011-06-28","domain","55","EUR",""
"2011-06-29","food","19.64","EUR",""
"2011-07-04","food","10","EUR",""
"2011-07-04","software","4","EUR",""
"2011-07-05","food","4.88","EUR",""
"2011-07-06","food","12","EUR",""
"2011-07-07","drinks","3.5","EUR",""
"2011-07-08","food","8.8","EUR",""
"2011-07-09","energy","13.4","EUR",""
"2011-07-10","drinks","3.5","EUR",""
"2011-07-10","food","6.6","EUR",""
"2011-07-11","food","40.29","EUR",""
"2011-07-12","drinks","3.5","EUR",""
"2011-07-13","drinks","2.5","EUR",""
"2011-07-14","food","3.99","EUR",""
"2011-07-14","domain","10","EUR",""
"2011-07-14","food","6.3","EUR",""
"2011-07-14","drinks","2.4","EUR",""
"2011-07-15","energy","6.64","EUR",""
"2011-07-16","drinks","3.5","EUR",""
"2011-07-17","drinks","2.15","EUR",""
"2011-07-17","grooming","5.94","EUR",""
"2011-07-19","misc","3.81","EUR",""
"2011-07-22","drinks","4","EUR",""
"2011-07-22","drinks","9","EUR",""
"2011-07-22","misc","15","EUR",""
"2011-07-22","misc","3","EUR",""
"2011-07-22","condoms","3","EUR",""
"2011-07-22","energy","2.4","EUR",""
"2011-07-22","food","7.6","EUR",""
"2011-07-22","train","6.45","EUR",""
"2011-07-22","drinks","7","EUR",""
"2011-07-24","energy","12.52","EUR",""
"2011-07-25","food","14.92","EUR",""
"2011-07-27","apps","0.79","EUR",""
"2011-07-28","drinks","3.5","EUR",""
"2011-07-29","food","4","EUR",""
"2011-07-31","food","6","EUR",""
"2011-08-05","drinks","2.5","EUR",""
"2011-08-06","train","6.75","EUR",""
"2011-08-06","energy","12.5","EUR",""
"2011-08-06","grooming","4.5","EUR",""
"2011-08-06","drinks","10","EUR",""
"2011-08-07","partying","57","EUR",""
"2011-08-07","train","6.75","EUR",""
"2011-08-07","toys","37","EUR",""
"2011-08-07","food","7.6","EUR",""
"2011-08-07","drinks","4.75","EUR",""
"2011-08-08","food","12.46","EUR",""
"2011-08-09","food","17.51","EUR",""
"2011-08-10","hosting","99.66","EUR",""
"2011-08-10","dreamhost","21.9","EUR",""
"2011-08-11","domain","9.99","EUR",""
"2011-08-11","energy","9.84","EUR",""
"2011-08-11","drinks","3.5","EUR",""
"2011-08-11","moviez","7","EUR",""
"2011-08-12","food","4.3","EUR",""
"2011-08-12","tech","102","EUR",""
"2011-08-14","partying","100","EUR",""
"2011-08-15","energy","2.15","EUR",""
"2011-08-15","food","14.97","EUR",""
"2011-08-17","energy","4.78","EUR",""
"2011-08-17","drinks","4.15","EUR",""
"2011-08-18","energy","8.87","EUR",""
"2011-08-19","toys","69","EUR",""
"2011-08-20","drinks","3.5","EUR",""
"2011-08-20","gifts","17.8","EUR",""
"2011-08-20","misc","8.1","EUR",""
"2011-08-20","food","5.25","EUR",""
"2011-08-20","toys","10","EUR",""
"2011-08-20","train","6.5","EUR",""
"2011-08-20","clothes","146","EUR",""
"2011-08-20","gifts","13","EUR",""
"2011-08-20","food","11","EUR",""
"2011-08-20","gifts","7","EUR",""
"2011-08-20","misc","5","EUR",""
"2011-08-21","misc","8.71","EUR",""
"2011-08-21","gifts","18","EUR",""
"2011-08-22","gifts","60","EUR",""
"2011-08-23","drinks","4.9","EUR",""
"2011-08-23","food","5","EUR",""
"2011-08-23","drinks","2.6","EUR",""
"2011-08-23","food","22.3","EUR",""
"2011-08-24","drinks","1.3","EUR",""
"2011-08-24","food","6","EUR",""
"2011-08-24","drinks","5.8","EUR",""
"2011-08-25","drinks","1.7","EUR",""
"2011-08-25","printing","0.7","EUR",""
"2011-08-25","drinks","3","EUR",""
"2011-08-25","energy","1.5","EUR",""
"2011-08-26","bus","10","EUR",""
"2011-08-26","food","7.3","EUR",""
"2011-08-27","taxi","5.2","EUR",""
"2011-08-28","drinks","3.7","EUR",""
"2011-08-29","energy","7.97","EUR",""
"2011-08-29","supplies","9.37","EUR",""
"2011-08-29","drinks","3.2","EUR",""
"2011-08-30","food","1.2","EUR",""
"2011-08-30","fuel","1.1","EUR",""
"2011-08-30","tax","128.39","EUR",""
"2011-08-30","food","0.6","EUR",""
"2011-08-31","food","3","EUR",""
"2011-08-31","drinks","2.5","EUR",""
"2011-09-02","toys","29","EUR",""
"2011-09-02","food","0.6","EUR",""
"2011-09-02","energy","1.5","EUR",""
"2011-09-05","drinks","1","EUR",""
"2011-09-05","energy","7","EUR",""
"2011-09-06","energy","5","EUR",""
"2011-09-06","fuel","1.5","EUR",""
"2011-09-06","energy","1.5","EUR",""
"2011-09-08","misc","10.19","EUR",""
"2011-09-08","energy","1.5","EUR",""
"2011-09-09","fuel","1.7","EUR",""
"2011-09-09","fuel","2","EUR",""
"2011-09-10","energy","3.33","EUR",""
"2011-09-10","tea","6.4","EUR",""
"2011-09-13","food","3.2","EUR",""
"2011-09-13","drinks","1.8","EUR",""
"2011-09-14","energy","1.5","EUR",""
"2011-09-14","energy","5","EUR",""
"2011-09-15","drinks","0.68","EUR",""
"2011-09-15","energy","1.5","EUR",""
"2011-09-19","energy","3.2","EUR",""
"2011-09-19","misc","5.6","EUR",""
"2011-09-19","fuel","1.1","EUR",""
"2011-09-20","drinks","4.5","EUR",""
"2011-09-20","food","1.5","EUR",""
"2011-09-20","misc","1.7","EUR",""
"2011-09-20","energy","1.5","EUR",""
"2011-09-22","gifts","10","EUR",""
"2011-09-22","grooming","10","EUR",""
"2011-09-23","energy","2.1","EUR",""
"2011-09-23","drinks","6.06","EUR",""
"2011-09-23","sport","25","EUR",""
"2011-09-24","spotify","11.44","EUR",""
"2011-09-24","misc","2.5","EUR",""
"2011-09-25","dreamhost","16.2","EUR",""
"2011-09-26","grooming","3.6","EUR",""
"2011-09-26","energy","2.3","EUR",""
"2011-09-26","fuel","2.8","EUR",""
"2011-09-26","tea","5.9","EUR",""
"2011-09-26","tech","49.02","EUR",""
"2011-09-29","food","0.87","EUR",""
"2011-09-30","energy","2.38","EUR",""
"2011-09-30","condoms","6.25","EUR",""
"2011-09-30","school","22.82","EUR",""
"2011-10-01","gifts","6.15","EUR",""
"2011-10-01","energy","3.5","EUR",""
"2011-10-02","drinks","3.5","EUR",""
"2011-10-04","supplies","17.5","EUR",""
"2011-10-04","food","15","EUR",""
"2011-10-04","energy","1.5","EUR",""
"2011-10-04","food","0.6","EUR",""
"2011-10-05","fuel","1.3","EUR",""
"2011-10-05","energy","1.5","EUR",""
"2011-10-06","fuel","1.4","EUR",""
"2011-10-06","food","0.87","EUR",""
"2011-10-06","books","19.37","EUR",""
"2011-10-07","energy","3","EUR",""
"2011-10-10","tea","5.96","EUR",""
"2011-10-10","grooming","2.4","EUR",""
"2011-10-11","domain","6.59","EUR",""
"2011-10-11","fuel","1.7","EUR",""
